IDCODE,EXPERIMENT TYPE
4MUN,X-RAY DIFFRACTION
4MUO,X-RAY DIFFRACTION
4MUP,X-RAY DIFFRACTION
4MUQ,X-RAY DIFFRACTION
4MUR,X-RAY DIFFRACTION
4MUS,X-RAY DIFFRACTION
4MUT,X-RAY DIFFRACTION
4MUU,X-RAY DIFFRACTION
4MUV,X-RAY DIFFRACTION
4MUW,X-RAY DIFFRACTION
4MUX,X-RAY DIFFRACTION
4MUY,X-RAY DIFFRACTION
4MUZ,X-RAY DIFFRACTION
4MV0,X-RAY DIFFRACTION
4MV1,X-RAY DIFFRACTION
4MV2,X-RAY DIFFRACTION
4MV3,X-RAY DIFFRACTION
4MV4,X-RAY DIFFRACTION
4MV5,X-RAY DIFFRACTION
4MV6,X-RAY DIFFRACTION
4MV7,X-RAY DIFFRACTION
4MV8,X-RAY DIFFRACTION
4MV9,X-RAY DIFFRACTION
4MVA,X-RAY DIFFRACTION
4MVB,X-RAY DIFFRACTION
4MVC,X-RAY DIFFRACTION
4MVD,X-RAY DIFFRACTION
4MVE,X-RAY DIFFRACTION
4MVF,X-RAY DIFFRACTION
4MVH,X-RAY DIFFRACTION
4MVI,X-RAY DIFFRACTION
4MVJ,X-RAY DIFFRACTION
4MVK,X-RAY DIFFRACTION
4MVL,X-RAY DIFFRACTION
4MVM,X-RAY DIFFRACTION
4MVN,X-RAY DIFFRACTION
4MVO,X-RAY DIFFRACTION
4MVQ,X-RAY DIFFRACTION
4MVR,X-RAY DIFFRACTION
4MVS,X-RAY DIFFRACTION
4MVT,X-RAY DIFFRACTION
4MVU,X-RAY DIFFRACTION
4MVW,X-RAY DIFFRACTION
4MVX,X-RAY DIFFRACTION
4MVY,X-RAY DIFFRACTION
4MVZ,X-RAY DIFFRACTION
4MW0,X-RAY DIFFRACTION
4MW1,X-RAY DIFFRACTION
4MW2,X-RAY DIFFRACTION
4MW3,X-RAY DIFFRACTION
4MW4,X-RAY DIFFRACTION
4MW5,X-RAY DIFFRACTION
4MW6,X-RAY DIFFRACTION
4MW7,X-RAY DIFFRACTION
4MW8,X-RAY DIFFRACTION
4MW9,X-RAY DIFFRACTION
4MWA,X-RAY DIFFRACTION
4MWB,X-RAY DIFFRACTION
4MWC,X-RAY DIFFRACTION
4MWD,X-RAY DIFFRACTION
4MWE,X-RAY DIFFRACTION
4MWF,X-RAY DIFFRACTION
4MWG,X-RAY DIFFRACTION
4MWH,X-RAY DIFFRACTION
4MWI,X-RAY DIFFRACTION
4MWJ,X-RAY DIFFRACTION
4MWL,X-RAY DIFFRACTION
4MWO,X-RAY DIFFRACTION
4MWP,X-RAY DIFFRACTION
4MWQ,X-RAY DIFFRACTION
4MWR,X-RAY DIFFRACTION
4MWS,X-RAY DIFFRACTION
4MWT,X-RAY DIFFRACTION
4MWU,X-RAY DIFFRACTION
4MWV,X-RAY DIFFRACTION
4MWW,X-RAY DIFFRACTION
4MWX,X-RAY DIFFRACTION
4MWY,X-RAY DIFFRACTION
4MWZ,X-RAY DIFFRACTION
4MX0,X-RAY DIFFRACTION
4MX1,X-RAY DIFFRACTION
4MX2,X-RAY DIFFRACTION
4MX3,X-RAY DIFFRACTION
4MX5,X-RAY DIFFRACTION
4MX6,X-RAY DIFFRACTION
4MX7,X-RAY DIFFRACTION
4MX8,X-RAY DIFFRACTION
4MX9,X-RAY DIFFRACTION
4MXA,X-RAY DIFFRACTION
4MXC,X-RAY DIFFRACTION
4MXD,X-RAY DIFFRACTION
4MXE,X-RAY DIFFRACTION
4MXF,X-RAY DIFFRACTION
4MXI,X-RAY DIFFRACTION
4MXJ,X-RAY DIFFRACTION
4MXK,X-RAY DIFFRACTION
4MXL,X-RAY DIFFRACTION
4MXM,X-RAY DIFFRACTION
4MXN,X-RAY DIFFRACTION
4MXO,X-RAY DIFFRACTION
4MXP,X-RAY DIFFRACTION
4MXQ,X-RAY DIFFRACTION
4MXR,X-RAY DIFFRACTION
4MXT,X-RAY DIFFRACTION
4MXU,X-RAY DIFFRACTION
4MXV,X-RAY DIFFRACTION
4MXW,X-RAY DIFFRACTION
4MXX,X-RAY DIFFRACTION
4MXY,X-RAY DIFFRACTION
4MXZ,X-RAY DIFFRACTION
4MY0,X-RAY DIFFRACTION
4MY1,X-RAY DIFFRACTION
4MY2,X-RAY DIFFRACTION
4MY3,X-RAY DIFFRACTION
4MY4,X-RAY DIFFRACTION
4MY5,X-RAY DIFFRACTION
4MY6,X-RAY DIFFRACTION
4MY7,X-RAY DIFFRACTION
4MY8,X-RAY DIFFRACTION
4MY9,X-RAY DIFFRACTION
4MYA,X-RAY DIFFRACTION
4MYB,X-RAY DIFFRACTION
4MYC,X-RAY DIFFRACTION
4MYD,X-RAY DIFFRACTION
4MYE,X-RAY DIFFRACTION
4MYF,X-RAY DIFFRACTION
4MYG,X-RAY DIFFRACTION
4MYH,X-RAY DIFFRACTION
4MYK,X-RAY DIFFRACTION
4MYL,X-RAY DIFFRACTION
4MYM,X-RAY DIFFRACTION
4MYN,X-RAY DIFFRACTION
4MYO,X-RAY DIFFRACTION
4MYP,X-RAY DIFFRACTION
4MYQ,X-RAY DIFFRACTION
4MYR,X-RAY DIFFRACTION
4MYS,X-RAY DIFFRACTION
4MYT,X-RAY DIFFRACTION
4MYU,X-RAY DIFFRACTION
4MYV,X-RAY DIFFRACTION
4MYW,X-RAY DIFFRACTION
4MYX,X-RAY DIFFRACTION
4MYY,X-RAY DIFFRACTION
4MYZ,X-RAY DIFFRACTION
4MZ0,X-RAY DIFFRACTION
4MZ1,X-RAY DIFFRACTION
4MZ2,X-RAY DIFFRACTION
4MZ3,X-RAY DIFFRACTION
4MZ4,X-RAY DIFFRACTION
4MZ5,X-RAY DIFFRACTION
4MZ6,X-RAY DIFFRACTION
4MZ7,X-RAY DIFFRACTION
4MZ8,X-RAY DIFFRACTION
4MZ9,X-RAY DIFFRACTION
4MZA,X-RAY DIFFRACTION
4MZB,X-RAY DIFFRACTION
4MZC,X-RAY DIFFRACTION
4MZD,X-RAY DIFFRACTION
4MZE,X-RAY DIFFRACTION
4MZF,X-RAY DIFFRACTION
4MZG,X-RAY DIFFRACTION
4MZH,X-RAY DIFFRACTION
4MZI,X-RAY DIFFRACTION
4MZJ,X-RAY DIFFRACTION
4MZK,X-RAY DIFFRACTION
4MZL,X-RAY DIFFRACTION
4MZM,X-RAY DIFFRACTION
4MZN,X-RAY DIFFRACTION
4MZO,X-RAY DIFFRACTION
4MZP,X-RAY DIFFRACTION
4MZQ,X-RAY DIFFRACTION
4MZR,X-RAY DIFFRACTION
4MZS,X-RAY DIFFRACTION
4MZT,X-RAY DIFFRACTION
4MZU,X-RAY DIFFRACTION
4MZV,X-RAY DIFFRACTION
4MZW,X-RAY DIFFRACTION
4MZX,X-RAY DIFFRACTION
4MZY,X-RAY DIFFRACTION
4MZZ,X-RAY DIFFRACTION
4N00,X-RAY DIFFRACTION
4N01,X-RAY DIFFRACTION
4N02,X-RAY DIFFRACTION
4N03,X-RAY DIFFRACTION
4N04,X-RAY DIFFRACTION
4N05,X-RAY DIFFRACTION
4N06,X-RAY DIFFRACTION
4N07,X-RAY DIFFRACTION
4N08,X-RAY DIFFRACTION
4N09,X-RAY DIFFRACTION
4N0A,X-RAY DIFFRACTION
4N0B,X-RAY DIFFRACTION
4N0C,X-RAY DIFFRACTION
4N0D,X-RAY DIFFRACTION
4N0E,X-RAY DIFFRACTION
4N0F,X-RAY DIFFRACTION
4N0G,X-RAY DIFFRACTION
4N0H,X-RAY DIFFRACTION
4N0I,X-RAY DIFFRACTION
4N0J,X-RAY DIFFRACTION
4N0K,X-RAY DIFFRACTION
4N0L,X-RAY DIFFRACTION
4N0M,X-RAY DIFFRACTION
4N0N,X-RAY DIFFRACTION
4N0O,X-RAY DIFFRACTION
4N0P,X-RAY DIFFRACTION
4N0Q,X-RAY DIFFRACTION
4N0R,X-RAY DIFFRACTION
4N0S,X-RAY DIFFRACTION
4N0T,X-RAY DIFFRACTION
4N0U,X-RAY DIFFRACTION
4N0V,X-RAY DIFFRACTION
4N0W,X-RAY DIFFRACTION
4N0X,X-RAY DIFFRACTION
4N0Y,X-RAY DIFFRACTION
4N0Z,X-RAY DIFFRACTION
4N10,X-RAY DIFFRACTION
4N11,X-RAY DIFFRACTION
4N12,X-RAY DIFFRACTION
4N13,X-RAY DIFFRACTION
4N14,X-RAY DIFFRACTION
4N15,X-RAY DIFFRACTION
4N16,X-RAY DIFFRACTION
4N17,X-RAY DIFFRACTION
4N18,X-RAY DIFFRACTION
4N19,X-RAY DIFFRACTION
4N1A,X-RAY DIFFRACTION
4N1B,X-RAY DIFFRACTION
4N1C,X-RAY DIFFRACTION
4N1D,X-RAY DIFFRACTION
4N1E,X-RAY DIFFRACTION
4N1F,X-RAY DIFFRACTION
4N1G,X-RAY DIFFRACTION
4N1H,X-RAY DIFFRACTION
4N1I,X-RAY DIFFRACTION
4N1J,X-RAY DIFFRACTION
4N1K,X-RAY DIFFRACTION
4N1L,X-RAY DIFFRACTION
4N1M,X-RAY DIFFRACTION
4N1N,X-RAY DIFFRACTION
4N1O,X-RAY DIFFRACTION
4N1P,X-RAY DIFFRACTION
4N1Q,X-RAY DIFFRACTION
4N1R,X-RAY DIFFRACTION
4N1S,X-RAY DIFFRACTION
4N1T,X-RAY DIFFRACTION
4N1U,X-RAY DIFFRACTION
4N1V,X-RAY DIFFRACTION
4N1X,X-RAY DIFFRACTION
4N1Y,X-RAY DIFFRACTION
4N1Z,X-RAY DIFFRACTION
4N20,X-RAY DIFFRACTION
4N21,X-RAY DIFFRACTION
4N22,X-RAY DIFFRACTION
4N23,X-RAY DIFFRACTION
4N24,X-RAY DIFFRACTION
4N25,X-RAY DIFFRACTION
4N26,X-RAY DIFFRACTION
4N27,X-RAY DIFFRACTION
4N28,X-RAY DIFFRACTION
4N2A,X-RAY DIFFRACTION
4N2B,X-RAY DIFFRACTION
4N2C,X-RAY DIFFRACTION
4N2D,X-RAY DIFFRACTION
4N2E,X-RAY DIFFRACTION
4N2F,X-RAY DIFFRACTION
4N2G,X-RAY DIFFRACTION
4N2H,X-RAY DIFFRACTION
4N2I,X-RAY DIFFRACTION
4N2K,X-RAY DIFFRACTION
4N2L,X-RAY DIFFRACTION
4N2M,X-RAY DIFFRACTION
4N2N,X-RAY DIFFRACTION
4N2O,X-RAY DIFFRACTION
4N2P,X-RAY DIFFRACTION
4N2Q,X-RAY DIFFRACTION
4N2R,X-RAY DIFFRACTION
4N2S,X-RAY DIFFRACTION
4N2X,X-RAY DIFFRACTION
4N2Y,X-RAY DIFFRACTION
4N2Z,X-RAY DIFFRACTION
4N30,X-RAY DIFFRACTION
4N31,X-RAY DIFFRACTION
4N32,X-RAY DIFFRACTION
4N33,X-RAY DIFFRACTION
4N34,X-RAY DIFFRACTION
4N35,X-RAY DIFFRACTION
4N36,X-RAY DIFFRACTION
4N37,X-RAY DIFFRACTION
4N38,X-RAY DIFFRACTION
4N39,X-RAY DIFFRACTION
4N3A,X-RAY DIFFRACTION
4N3B,X-RAY DIFFRACTION
4N3C,X-RAY DIFFRACTION
4N3D,X-RAY DIFFRACTION
4N3E,X-RAY DIFFRACTION
4N3G,X-RAY DIFFRACTION
4N3M,"NEUTRON DIFFRACTION, X-RAY DIFFRACTION"
4N3N,X-RAY DIFFRACTION
4N3O,X-RAY DIFFRACTION
4N3P,X-RAY DIFFRACTION
4N3R,X-RAY DIFFRACTION
4N3S,X-RAY DIFFRACTION
4N3T,X-RAY DIFFRACTION
4N3U,X-RAY DIFFRACTION
4N3V,X-RAY DIFFRACTION
4N3W,X-RAY DIFFRACTION
4N3X,X-RAY DIFFRACTION
4N3Y,X-RAY DIFFRACTION
4N3Z,X-RAY DIFFRACTION
4N40,X-RAY DIFFRACTION
4N41,X-RAY DIFFRACTION
4N42,X-RAY DIFFRACTION
4N43,X-RAY DIFFRACTION
4N44,X-RAY DIFFRACTION
4N45,X-RAY DIFFRACTION
4N47,X-RAY DIFFRACTION
4N48,X-RAY DIFFRACTION
4N49,X-RAY DIFFRACTION
4N4A,X-RAY DIFFRACTION
4N4B,X-RAY DIFFRACTION
4N4C,X-RAY DIFFRACTION
4N4D,X-RAY DIFFRACTION
4N4E,X-RAY DIFFRACTION
4N4F,X-RAY DIFFRACTION
4N4G,X-RAY DIFFRACTION
4N4H,X-RAY DIFFRACTION
4N4I,X-RAY DIFFRACTION
4N4J,X-RAY DIFFRACTION
4N4K,X-RAY DIFFRACTION
4N4L,X-RAY DIFFRACTION
4N4M,X-RAY DIFFRACTION
4N4N,X-RAY DIFFRACTION
4N4O,X-RAY DIFFRACTION
4N4P,X-RAY DIFFRACTION
4N4Q,X-RAY DIFFRACTION
4N4R,X-RAY DIFFRACTION
4N4S,X-RAY DIFFRACTION
4N4T,X-RAY DIFFRACTION
4N4U,X-RAY DIFFRACTION
4N4V,X-RAY DIFFRACTION
4N4W,X-RAY DIFFRACTION
4N4X,X-RAY DIFFRACTION
4N4Y,X-RAY DIFFRACTION
4N4Z,X-RAY DIFFRACTION
4N53,X-RAY DIFFRACTION
4N54,X-RAY DIFFRACTION
4N56,X-RAY DIFFRACTION
4N57,X-RAY DIFFRACTION
4N58,X-RAY DIFFRACTION
4N59,X-RAY DIFFRACTION
4N5A,X-RAY DIFFRACTION
4N5B,X-RAY DIFFRACTION
4N5C,X-RAY DIFFRACTION
4N5D,X-RAY DIFFRACTION
4N5E,X-RAY DIFFRACTION
4N5F,X-RAY DIFFRACTION
4N5G,X-RAY DIFFRACTION
4N5H,X-RAY DIFFRACTION
4N5I,X-RAY DIFFRACTION
4N5J,X-RAY DIFFRACTION
4N5K,X-RAY DIFFRACTION
4N5L,X-RAY DIFFRACTION
4N5M,X-RAY DIFFRACTION
4N5N,X-RAY DIFFRACTION
4N5P,X-RAY DIFFRACTION
4N5Q,X-RAY DIFFRACTION
4N5R,X-RAY DIFFRACTION
4N5S,X-RAY DIFFRACTION
4N5T,X-RAY DIFFRACTION
4N5U,X-RAY DIFFRACTION
4N5V,X-RAY DIFFRACTION
4N5X,X-RAY DIFFRACTION
4N5Y,X-RAY DIFFRACTION
4N5Z,X-RAY DIFFRACTION
4N60,X-RAY DIFFRACTION
4N61,X-RAY DIFFRACTION
4N62,X-RAY DIFFRACTION
4N63,X-RAY DIFFRACTION
4N64,X-RAY DIFFRACTION
4N65,X-RAY DIFFRACTION
4N66,X-RAY DIFFRACTION
4N67,X-RAY DIFFRACTION
4N68,X-RAY DIFFRACTION
4N69,X-RAY DIFFRACTION
4N6A,X-RAY DIFFRACTION
4N6B,X-RAY DIFFRACTION
4N6C,X-RAY DIFFRACTION
4N6D,X-RAY DIFFRACTION
4N6E,X-RAY DIFFRACTION
4N6F,X-RAY DIFFRACTION
4N6G,X-RAY DIFFRACTION
4N6H,X-RAY DIFFRACTION
4N6J,X-RAY DIFFRACTION
4N6K,X-RAY DIFFRACTION
4N6L,X-RAY DIFFRACTION
4N6M,X-RAY DIFFRACTION
4N6N,X-RAY DIFFRACTION
4N6O,X-RAY DIFFRACTION
4N6P,X-RAY DIFFRACTION
4N6Q,X-RAY DIFFRACTION
4N6R,X-RAY DIFFRACTION
4N6S,X-RAY DIFFRACTION
4N6T,X-RAY DIFFRACTION
4N6U,X-RAY DIFFRACTION
4N6V,X-RAY DIFFRACTION
4N6W,X-RAY DIFFRACTION
4N6X,X-RAY DIFFRACTION
4N6Y,X-RAY DIFFRACTION
4N6Z,X-RAY DIFFRACTION
4N70,X-RAY DIFFRACTION
4N71,X-RAY DIFFRACTION
4N72,X-RAY DIFFRACTION
4N73,X-RAY DIFFRACTION
4N74,X-RAY DIFFRACTION
4N75,X-RAY DIFFRACTION
4N76,X-RAY DIFFRACTION
4N77,X-RAY DIFFRACTION
4N78,X-RAY DIFFRACTION
4N79,X-RAY DIFFRACTION
4N7B,X-RAY DIFFRACTION
4N7C,X-RAY DIFFRACTION
4N7D,X-RAY DIFFRACTION
4N7E,X-RAY DIFFRACTION
4N7F,X-RAY DIFFRACTION
4N7G,X-RAY DIFFRACTION
4N7H,X-RAY DIFFRACTION
4N7I,X-RAY DIFFRACTION
4N7J,X-RAY DIFFRACTION
4N7K,X-RAY DIFFRACTION
4N7L,X-RAY DIFFRACTION
4N7M,X-RAY DIFFRACTION
4N7N,X-RAY DIFFRACTION
4N7O,X-RAY DIFFRACTION
4N7P,X-RAY DIFFRACTION
4N7Q,X-RAY DIFFRACTION
4N7R,X-RAY DIFFRACTION
4N7S,X-RAY DIFFRACTION
4N7T,X-RAY DIFFRACTION
4N7U,X-RAY DIFFRACTION
4N7V,X-RAY DIFFRACTION
4N7W,X-RAY DIFFRACTION
4N7X,X-RAY DIFFRACTION
4N7Y,X-RAY DIFFRACTION
4N7Z,X-RAY DIFFRACTION
4N80,X-RAY DIFFRACTION
4N81,X-RAY DIFFRACTION
4N82,X-RAY DIFFRACTION
4N83,X-RAY DIFFRACTION
4N84,X-RAY DIFFRACTION
4N85,X-RAY DIFFRACTION
4N86,X-RAY DIFFRACTION
4N87,X-RAY DIFFRACTION
4N88,X-RAY DIFFRACTION
4N8C,X-RAY DIFFRACTION
4N8D,X-RAY DIFFRACTION
4N8E,X-RAY DIFFRACTION
4N8F,X-RAY DIFFRACTION
4N8G,X-RAY DIFFRACTION
4N8H,X-RAY DIFFRACTION
4N8I,X-RAY DIFFRACTION
4N8J,X-RAY DIFFRACTION
4N8K,X-RAY DIFFRACTION
4N8L,X-RAY DIFFRACTION
4N8M,X-RAY DIFFRACTION
4N8N,X-RAY DIFFRACTION
4N8O,X-RAY DIFFRACTION
4N8P,X-RAY DIFFRACTION
4N8Q,X-RAY DIFFRACTION
4N8R,X-RAY DIFFRACTION
4N8S,X-RAY DIFFRACTION
4N8T,X-RAY DIFFRACTION
4N8U,X-RAY DIFFRACTION
4N8V,X-RAY DIFFRACTION
4N8W,X-RAY DIFFRACTION
4N8X,X-RAY DIFFRACTION
4N8Y,X-RAY DIFFRACTION
4N8Z,X-RAY DIFFRACTION
4N90,X-RAY DIFFRACTION
4N91,X-RAY DIFFRACTION
4N92,X-RAY DIFFRACTION
4N93,X-RAY DIFFRACTION
4N94,X-RAY DIFFRACTION
4N95,X-RAY DIFFRACTION
4N96,X-RAY DIFFRACTION
4N97,X-RAY DIFFRACTION
4N98,X-RAY DIFFRACTION
4N99,X-RAY DIFFRACTION
4N9A,X-RAY DIFFRACTION
4N9B,X-RAY DIFFRACTION
4N9C,X-RAY DIFFRACTION
4N9D,X-RAY DIFFRACTION
4N9E,X-RAY DIFFRACTION
4N9F,X-RAY DIFFRACTION
4N9G,X-RAY DIFFRACTION
4N9H,X-RAY DIFFRACTION
4N9I,X-RAY DIFFRACTION
4N9J,X-RAY DIFFRACTION
4N9K,X-RAY DIFFRACTION
4N9L,X-RAY DIFFRACTION
4N9M,"NEUTRON DIFFRACTION, X-RAY DIFFRACTION"
4N9N,X-RAY DIFFRACTION
4N9O,X-RAY DIFFRACTION
4N9P,X-RAY DIFFRACTION
4N9Q,X-RAY DIFFRACTION
4N9R,X-RAY DIFFRACTION
4N9S,X-RAY DIFFRACTION
4N9T,X-RAY DIFFRACTION
4N9U,X-RAY DIFFRACTION
4N9V,X-RAY DIFFRACTION
4N9W,X-RAY DIFFRACTION
4N9X,X-RAY DIFFRACTION
4N9Y,X-RAY DIFFRACTION
4N9Z,X-RAY DIFFRACTION
4NA0,X-RAY DIFFRACTION
4NA1,X-RAY DIFFRACTION
4NA2,X-RAY DIFFRACTION
4NA3,X-RAY DIFFRACTION
4NA4,X-RAY DIFFRACTION
4NA5,X-RAY DIFFRACTION
4NA6,X-RAY DIFFRACTION
4NA7,X-RAY DIFFRACTION
4NA8,X-RAY DIFFRACTION
4NA9,X-RAY DIFFRACTION
4NAA,X-RAY DIFFRACTION
4NAB,X-RAY DIFFRACTION
4NAC,X-RAY DIFFRACTION
4NAD,X-RAY DIFFRACTION
4NAE,X-RAY DIFFRACTION
4NAF,X-RAY DIFFRACTION
4NAG,X-RAY DIFFRACTION
4NAH,X-RAY DIFFRACTION
4NAI,X-RAY DIFFRACTION
4NAJ,X-RAY DIFFRACTION
4NAK,X-RAY DIFFRACTION
4NAL,X-RAY DIFFRACTION
4NAM,X-RAY DIFFRACTION
4NAN,X-RAY DIFFRACTION
4NAO,X-RAY DIFFRACTION
4NAP,X-RAY DIFFRACTION
4NAQ,X-RAY DIFFRACTION
4NAR,X-RAY DIFFRACTION
4NAS,X-RAY DIFFRACTION
4NAT,X-RAY DIFFRACTION
4NAU,X-RAY DIFFRACTION
4NAV,X-RAY DIFFRACTION
4NAW,X-RAY DIFFRACTION
4NAX,X-RAY DIFFRACTION
4NAY,X-RAY DIFFRACTION
4NAZ,X-RAY DIFFRACTION
4NB0,X-RAY DIFFRACTION
4NB1,X-RAY DIFFRACTION
4NB2,X-RAY DIFFRACTION
4NB3,X-RAY DIFFRACTION
4NB4,X-RAY DIFFRACTION
4NB5,X-RAY DIFFRACTION
4NB6,X-RAY DIFFRACTION
4NB7,X-RAY DIFFRACTION
4NB8,X-RAY DIFFRACTION
4NB9,X-RAY DIFFRACTION
4NBA,X-RAY DIFFRACTION
4NBB,X-RAY DIFFRACTION
4NBC,X-RAY DIFFRACTION
4NBD,X-RAY DIFFRACTION
4NBE,X-RAY DIFFRACTION
4NBF,X-RAY DIFFRACTION
4NBG,X-RAY DIFFRACTION
4NBH,X-RAY DIFFRACTION
4NBI,X-RAY DIFFRACTION
4NBJ,X-RAY DIFFRACTION
4NBK,X-RAY DIFFRACTION
4NBL,X-RAY DIFFRACTION
4NBM,X-RAY DIFFRACTION
4NBN,X-RAY DIFFRACTION
4NBO,X-RAY DIFFRACTION
4NBP,X-RAY DIFFRACTION
4NBQ,X-RAY DIFFRACTION
4NBR,X-RAY DIFFRACTION
4NBS,X-RAY DIFFRACTION
4NBT,X-RAY DIFFRACTION
4NBU,X-RAY DIFFRACTION
4NBV,X-RAY DIFFRACTION
4NBW,X-RAY DIFFRACTION
4NBX,X-RAY DIFFRACTION
4NBY,X-RAY DIFFRACTION
4NBZ,X-RAY DIFFRACTION
4NC0,X-RAY DIFFRACTION
4NC1,X-RAY DIFFRACTION
4NC2,X-RAY DIFFRACTION
4NC3,X-RAY DIFFRACTION
4NC4,X-RAY DIFFRACTION
4NC5,X-RAY DIFFRACTION
4NC6,X-RAY DIFFRACTION
4NC7,X-RAY DIFFRACTION
4NC8,X-RAY DIFFRACTION
4NC9,X-RAY DIFFRACTION
4NCA,X-RAY DIFFRACTION
4NCB,X-RAY DIFFRACTION
4NCC,X-RAY DIFFRACTION
4NCD,X-RAY DIFFRACTION
4NCE,X-RAY DIFFRACTION
4NCF,X-RAY DIFFRACTION
4NCG,X-RAY DIFFRACTION
4NCH,X-RAY DIFFRACTION
4NCI,X-RAY DIFFRACTION
4NCJ,X-RAY DIFFRACTION
4NCK,X-RAY DIFFRACTION
4NCL,X-RAY DIFFRACTION
4NCM,X-RAY DIFFRACTION
4NCN,X-RAY DIFFRACTION
4NCO,X-RAY DIFFRACTION
4NCP,X-RAY DIFFRACTION
4NCQ,X-RAY DIFFRACTION
4NCR,X-RAY DIFFRACTION
4NCS,X-RAY DIFFRACTION
4NCT,X-RAY DIFFRACTION
4NCU,X-RAY DIFFRACTION
4NCV,X-RAY DIFFRACTION
4NCW,X-RAY DIFFRACTION
4NCX,X-RAY DIFFRACTION
4NCY,X-RAY DIFFRACTION
4NCZ,X-RAY DIFFRACTION
4ND1,X-RAY DIFFRACTION
4ND2,X-RAY DIFFRACTION
4ND3,X-RAY DIFFRACTION
4ND4,X-RAY DIFFRACTION
4ND5,X-RAY DIFFRACTION
4ND6,X-RAY DIFFRACTION
4ND7,X-RAY DIFFRACTION
4ND8,X-RAY DIFFRACTION
4ND9,X-RAY DIFFRACTION
4NDA,X-RAY DIFFRACTION
4NDB,X-RAY DIFFRACTION
4NDC,X-RAY DIFFRACTION
4NDD,X-RAY DIFFRACTION
4NDF,X-RAY DIFFRACTION
4NDG,X-RAY DIFFRACTION
4NDH,X-RAY DIFFRACTION
4NDI,X-RAY DIFFRACTION
4NDJ,X-RAY DIFFRACTION
4NDK,X-RAY DIFFRACTION
4NDL,X-RAY DIFFRACTION
4NDM,X-RAY DIFFRACTION
4NDN,X-RAY DIFFRACTION
4NDO,X-RAY DIFFRACTION
4NDP,X-RAY DIFFRACTION
4NDQ,X-RAY DIFFRACTION
4NDR,X-RAY DIFFRACTION
4NDS,X-RAY DIFFRACTION
4NDT,X-RAY DIFFRACTION
4NDU,X-RAY DIFFRACTION
4NDV,X-RAY DIFFRACTION
4NDW,X-RAY DIFFRACTION
4NDX,X-RAY DIFFRACTION
4NDY,X-RAY DIFFRACTION
4NDZ,X-RAY DIFFRACTION
4NE0,X-RAY DIFFRACTION
4NE1,X-RAY DIFFRACTION
4NE2,X-RAY DIFFRACTION
4NE3,X-RAY DIFFRACTION
4NE4,X-RAY DIFFRACTION
4NE5,X-RAY DIFFRACTION
4NE6,X-RAY DIFFRACTION
4NE7,X-RAY DIFFRACTION
4NE9,X-RAY DIFFRACTION
4NEA,X-RAY DIFFRACTION
4NEB,X-RAY DIFFRACTION
4NEC,X-RAY DIFFRACTION
4NED,X-RAY DIFFRACTION
4NEE,X-RAY DIFFRACTION
4NEF,X-RAY DIFFRACTION
4NEG,X-RAY DIFFRACTION
4NEH,X-RAY DIFFRACTION
4NEI,X-RAY DIFFRACTION
4NEJ,X-RAY DIFFRACTION
4NEK,X-RAY DIFFRACTION
4NEL,X-RAY DIFFRACTION
4NEM,X-RAY DIFFRACTION
4NEN,X-RAY DIFFRACTION
4NEO,X-RAY DIFFRACTION
4NEQ,X-RAY DIFFRACTION
4NER,X-RAY DIFFRACTION
4NES,X-RAY DIFFRACTION
4NET,X-RAY DIFFRACTION
4NEU,X-RAY DIFFRACTION
4NEV,X-RAY DIFFRACTION
4NEW,X-RAY DIFFRACTION
4NEX,X-RAY DIFFRACTION
4NEY,X-RAY DIFFRACTION
4NEZ,X-RAY DIFFRACTION
4NF0,X-RAY DIFFRACTION
4NF1,X-RAY DIFFRACTION
4NF2,X-RAY DIFFRACTION
4NF4,X-RAY DIFFRACTION
4NF5,X-RAY DIFFRACTION
4NF6,X-RAY DIFFRACTION
4NF7,X-RAY DIFFRACTION
4NF8,X-RAY DIFFRACTION
4NF9,X-RAY DIFFRACTION
4NFA,X-RAY DIFFRACTION
4NFB,X-RAY DIFFRACTION
4NFC,X-RAY DIFFRACTION
4NFD,X-RAY DIFFRACTION
4NFE,X-RAY DIFFRACTION
4NFF,X-RAY DIFFRACTION
4NFG,X-RAY DIFFRACTION
4NFH,X-RAY DIFFRACTION
4NFI,X-RAY DIFFRACTION
4NFJ,X-RAY DIFFRACTION
4NFK,X-RAY DIFFRACTION
4NFL,X-RAY DIFFRACTION
4NFM,X-RAY DIFFRACTION
4NFN,X-RAY DIFFRACTION
4NFO,X-RAY DIFFRACTION
4NFP,X-RAY DIFFRACTION
4NFQ,X-RAY DIFFRACTION
4NFR,X-RAY DIFFRACTION
4NFS,X-RAY DIFFRACTION
4NFT,X-RAY DIFFRACTION
4NFU,X-RAY DIFFRACTION
4NFV,X-RAY DIFFRACTION
4NFW,X-RAY DIFFRACTION
4NFX,X-RAY DIFFRACTION
4NFY,X-RAY DIFFRACTION
4NFZ,X-RAY DIFFRACTION
4NG0,X-RAY DIFFRACTION
4NG1,X-RAY DIFFRACTION
4NG2,X-RAY DIFFRACTION
4NG3,X-RAY DIFFRACTION
4NG4,X-RAY DIFFRACTION
4NG5,X-RAY DIFFRACTION
4NG6,X-RAY DIFFRACTION
4NG7,X-RAY DIFFRACTION
4NG8,X-RAY DIFFRACTION
4NG9,X-RAY DIFFRACTION
